ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
28,2,22,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:22"", ""word"": ""الثَّمَرٰتِ""}"
52,2,46,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:46"", ""word"": ""رٰجِعُوْنَ""}"
68,2,62,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:62"", ""word"": ""وَالنَّصٰرٰى""}"
91,2,85,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:85"", ""word"": ""اُسٰرٰى""}"
103,2,97,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:97"", ""word"": ""وَّبُشْرٰى""}"
108,2,102,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:102"", ""word"": ""اشْتَرٰىهُ""}"
117,2,111,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:111"", ""word"": ""نَصٰرٰى""}"
119,2,113,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:113"", ""word"": ""النَّصٰرٰى""}"
119,2,113,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:113"", ""word"": ""النَّصٰرٰى""}"
126,2,120,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:120"", ""word"": ""النَّصٰرٰى""}"
130,2,124,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:124"", ""word"": ""اِبْرٰهٖمَ""}"
131,2,125,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:125"", ""word"": ""اِبْرٰهٖمَ""}"
131,2,125,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:125"", ""word"": ""اِبْرٰهٖمَ""}"
132,2,126,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:126"", ""word"": ""اِبْرٰهٖمُ""}"
132,2,126,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:126"", ""word"": ""الثَّمَرٰتِ""}"
133,2,127,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:127"", ""word"": ""اِبْرٰهٖمُ""}"
136,2,130,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:130"", ""word"": ""اِبْرٰهٖمَ""}"
138,2,132,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:132"", ""word"": ""اِبْرٰهٖمُ""}"
139,2,133,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:133"", ""word"": ""اِبْرٰهٖمَ""}"
141,2,135,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:135"", ""word"": ""نَصٰرٰى""}"
