case_id,rule_under_test,kind,text,reading_mode,verse_key,boundary_to_verse_key,review_status,expected_rules,forbidden_rules,source_ids,notes
core_izhar_halqi_positive_001,izhar_halqi,positive,مِنْ هَادٍ,wasl,,,spec_derived,izhar_halqi,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_izhar_halqi_negative_001,izhar_halqi,negative,مِنْ بَعْدِ,wasl,,,spec_derived,,izhar_halqi,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_idgham_bilaghunnah_positive_001,idgham_bilaghunnah,positive,مِنْ رَبِّهِمْ,wasl,,,spec_derived,idgham_bilaghunnah,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_idgham_bilaghunnah_negative_001,idgham_bilaghunnah,negative,مِنْ مَالٍ,wasl,,,spec_derived,,idgham_bilaghunnah,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_iqlab_positive_001,iqlab,positive,مِنْ بَعْدِ,wasl,,,spec_derived,iqlab,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_iqlab_negative_001,iqlab,negative,مِنْ هَادٍ,wasl,,,spec_derived,,iqlab,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_ikhfa_haqiqi_positive_001,ikhfa_haqiqi,positive,مِنْ شَرِّ,wasl,,,spec_derived,ikhfa_haqiqi,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_ikhfa_haqiqi_negative_001,ikhfa_haqiqi,negative,مِنْ رَبِّهِمْ,wasl,,,spec_derived,,ikhfa_haqiqi,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_izhar_shafawi_positive_001,izhar_shafawi,positive,هُمْ فِيهَا,wasl,,,spec_derived,izhar_shafawi,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_izhar_shafawi_negative_001,izhar_shafawi,negative,هُمْ بِهَا,wasl,,,spec_derived,,izhar_shafawi,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
core_ikhfa_shafawi_positive_001,ikhfa_shafawi,positive,هُمْ بِهَا,wasl,,,spec_derived,ikhfa_shafawi,,"HAFS_SHATIBIYYAH_PROFILE,EXPERT_TALAQQI_REVIEW",
