ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
266,2,260,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""حَ"", ""trigger"": ""زٌ""}"
403,3,112,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""يَ"", ""trigger"": ""بِۢ""}"
667,4,176,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""ا"", ""trigger"": ""ؤٌ""}"
682,5,15,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""ەۗ"", ""trigger"": ""رٍ""}"
1224,8,67,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""حَ"", ""trigger"": ""زٌ""}"
1341,9,109,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
1341,9,109,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
1342,9,110,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
1747,13,43,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""ا"", ""trigger"": ""دَۢ""}"
1924,16,26,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
2158,18,21,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
2211,18,74,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""بِ"", ""trigger"": ""ةً""}"
3873,37,97,nun_tanwin_classification_deferred,warning,same_word_nun_before_yaw_waw_not_in_verified_lexicon,"{""same_word"": true, ""target"": ""يَ"", ""trigger"": ""نْ""}"
4025,38,67,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""ا"", ""trigger"": ""ؤٌ""}"
4429,44,33,tanwin_not_at_word_boundary,warning,Tanwin ditemukan sebelum huruf lain dalam WordToken yang sama.,"{""target"": ""ا"", ""trigger"": ""ؤٌ""}"
