ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
7,1,7,shamsiyyah_target_without_shadda,warning,Huruf syamsiyyah terdeteksi tanpa shadda eksplisit pada teks.,"{""target"": ""ذِ"", ""word"": ""الَّذِيْنَ""}"
6209,2,1,qamariyyah_lam_without_explicit_sukun,warning,Target qamariyyah terdeteksi tetapi lam ta'rif tidak memiliki sukun eksplisit.,"{""target"": ""مّۤ"", ""word"": ""الۤمّۤ""}"
9,2,3,shamsiyyah_target_without_shadda,warning,Huruf syamsiyyah terdeteksi tanpa shadda eksplisit pada teks.,"{""target"": ""ذِ"", ""word"": ""الَّذِيْنَ""}"
10,2,4,shamsiyyah_target_without_shadda,warning,Huruf syamsiyyah terdeteksi tanpa shadda eksplisit pada teks.,"{""target"": ""ذِ"", ""word"": ""وَالَّذِيْنَ""}"
10,2,4,qamariyyah_lam_without_explicit_sukun,warning,Target qamariyyah terdeteksi tetapi lam ta'rif tidak memiliki sukun eksplisit.,"{""target"": ""يْ"", ""word"": ""اِلَيْكَ""}"
12,2,6,shamsiyyah_target_without_shadda,warning,Huruf syamsiyyah terdeteksi tanpa shadda eksplisit pada teks.,"{""target"": ""ذِ"", ""word"": ""الَّذِيْنَ""}"
15,2,9,shamsiyyah_target_without_shadda,warning,Huruf syamsiyyah terdeteksi tanpa shadda eksplisit pada teks.,"{""target"": ""ذِ"", ""word"": ""وَالَّذِيْنَ""}"
15,2,9,qamariyyah_lam_without_explicit_sukun,warning,Target qamariyyah terdeteksi tetapi lam ta'rif tidak memiliki sukun eksplisit.,"{""target"": ""آ"", ""word"": ""اِلَّآ""}"
16,2,10,qamariyyah_lam_without_explicit_sukun,warning,Target qamariyyah terdeteksi tetapi lam ta'rif tidak memiliki sukun eksplisit.,"{""target"": ""يْ"", ""word"": ""اَلِيْمٌ""}"
18,2,12,qamariyyah_lam_without_explicit_sukun,warning,Target qamariyyah terdeteksi tetapi lam ta'rif tidak memiliki sukun eksplisit.,"{""target"": ""آ"", ""word"": ""اَلَآ""}"
