ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
32,2,26,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ي"", ""text"": ""يٖٓ""}"
32,2,26,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
33,2,27,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
57,2,51,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
73,2,67,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
86,2,80,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
93,2,87,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
96,2,90,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
99,2,93,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
108,2,102,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
118,2,112,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
132,2,126,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
137,2,131,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
202,2,196,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
251,2,245,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
