ayah_id,surah_number,ayah_number,ayah_stop_annotations,wasl_annotations,ayah_stop_segments,wasl_segments,issue_count,has_error
1,1,1,8,8,11,12,0,False
2,1,2,8,8,11,12,0,False
3,1,3,6,6,8,9,0,False
4,1,4,3,3,5,6,0,False
5,1,5,4,4,8,9,0,False
6,1,6,6,6,11,11,0,False
7,1,7,15,15,28,29,2,False
6209,2,1,4,4,4,4,2,False
8,2,2,9,9,15,16,0,False
9,2,3,17,17,28,28,2,False
10,2,4,18,18,32,33,4,False
11,2,5,13,13,18,19,0,False
12,2,6,20,20,37,38,2,False
13,2,7,19,19,32,33,0,False
14,2,8,18,18,28,29,0,False
15,2,9,18,18,31,32,4,False
16,2,10,19,19,27,28,2,False
17,2,11,14,14,21,22,0,False
18,2,12,11,11,19,20,2,False
19,2,13,28,28,48,49,2,False
20,2,14,27,27,40,41,4,False
21,2,15,8,8,14,15,0,False
22,2,16,19,19,29,30,2,False
23,2,17,24,24,40,41,2,False
24,2,18,9,9,15,16,0,False
25,2,19,33,33,50,51,0,False
26,2,20,34,34,51,51,0,False
27,2,21,18,18,32,33,4,False
28,2,22,37,37,63,64,4,False
29,2,23,36,36,51,52,0,False
30,2,24,27,27,42,43,2,False
31,2,25,61,61,95,96,4,False
32,2,26,57,57,87,88,10,False
33,2,27,27,27,41,42,4,False
34,2,28,22,22,37,38,2,False
35,2,29,23,23,36,37,4,False
36,2,30,31,31,50,51,0,False
37,2,31,21,21,33,34,0,False
38,2,32,17,17,27,28,2,False
39,2,33,35,35,58,59,2,False
40,2,34,19,19,32,33,2,False
41,2,35,24,24,40,41,0,False
42,2,36,29,29,51,52,2,False
43,2,37,13,13,20,21,0,False
44,2,38,23,23,40,41,0,False
45,2,39,21,21,30,31,2,False
46,2,40,22,22,38,39,2,False
47,2,41,26,26,40,41,0,False
48,2,42,11,11,21,22,0,False
49,2,43,16,16,20,21,0,False
50,2,44,18,18,30,31,0,False
51,2,45,19,19,27,28,2,False
52,2,46,17,17,27,28,6,False
53,2,47,19,19,31,32,2,False
54,2,48,28,28,45,46,0,False
55,2,49,29,29,48,49,0,False
56,2,50,22,22,35,36,0,False
57,2,51,18,18,29,30,2,False
58,2,52,10,10,16,17,0,False
59,2,53,12,12,20,21,0,False
60,2,54,43,43,73,74,2,False
61,2,55,22,22,32,33,2,False
62,2,56,9,9,15,16,0,False
63,2,57,29,29,51,52,0,False
64,2,58,31,31,53,54,0,False
65,2,59,25,25,44,45,6,False
66,2,60,36,36,60,61,0,False
67,2,61,86,86,142,143,4,False
68,2,62,42,42,73,74,6,False
69,2,63,23,23,41,42,0,False
70,2,64,17,17,26,27,0,False
71,2,65,17,17,30,31,2,False
72,2,66,11,11,17,18,0,False
73,2,67,25,25,39,40,2,False
74,2,68,31,31,49,50,0,False
75,2,69,27,27,43,44,0,False
76,2,70,21,21,34,35,0,False
77,2,71,31,31,46,47,0,False
78,2,72,19,19,28,28,0,False
79,2,73,16,16,26,27,0,False
80,2,74,48,48,78,79,0,False
81,2,75,26,26,44,45,0,False
82,2,76,35,35,57,58,4,False
83,2,77,10,10,17,18,0,False
84,2,78,18,18,29,30,4,False
85,2,79,35,35,52,53,2,False
86,2,80,30,30,46,47,6,False
87,2,81,19,19,29,30,0,False
88,2,82,19,19,30,31,2,False
89,2,83,60,60,83,84,4,False
90,2,84,28,28,44,45,0,False
91,2,85,84,84,131,132,6,False
92,2,86,22,22,36,37,2,False
93,2,87,45,45,77,78,2,False
94,2,88,16,16,24,25,0,False
95,2,89,39,39,57,58,2,False
96,2,90,33,33,53,54,2,False
97,2,91,39,39,59,60,0,False
98,2,92,17,17,28,29,0,False
99,2,93,43,43,70,71,2,False
100,2,94,26,26,41,42,0,False
101,2,95,15,15,23,24,0,False
102,2,96,32,32,52,53,2,False
103,2,97,18,18,30,31,2,False
104,2,98,21,21,29,30,0,False
105,2,99,17,17,27,28,4,False
106,2,100,16,16,26,27,0,False
107,2,101,38,38,56,57,2,False
108,2,102,88,88,143,144,6,False
109,2,103,17,17,26,27,0,False
110,2,104,26,26,42,42,4,False
111,2,105,34,34,52,53,2,False
112,2,106,21,21,33,33,2,False
113,2,107,24,24,34,34,2,False
114,2,108,24,24,38,39,0,False
115,2,109,43,43,62,62,0,False
116,2,110,28,28,40,40,0,False
117,2,111,25,25,37,38,4,False
118,2,112,15,15,27,28,2,False
119,2,113,41,41,63,64,6,False
120,2,114,42,42,67,68,2,False
121,2,115,20,20,33,34,0,False
122,2,116,19,19,28,29,0,False
123,2,117,19,19,28,29,0,False
124,2,118,34,34,58,59,4,False
125,2,119,15,15,23,24,0,False
126,2,120,31,31,50,50,6,False
127,2,121,21,21,34,35,2,False
128,2,122,19,19,31,32,2,False
129,2,123,27,27,43,44,0,False
130,2,124,31,31,54,55,2,False
131,2,125,44,43,68,68,6,False
132,2,126,43,43,70,70,8,False
133,2,127,20,20,31,32,2,False
134,2,128,26,26,42,43,0,False
135,2,129,28,28,44,45,0,False
136,2,130,23,23,38,39,4,False
137,2,131,9,9,17,18,2,False
138,2,132,23,23,41,41,4,False
139,2,133,35,35,57,58,8,False
140,2,134,17,17,27,28,0,False
141,2,135,17,17,24,25,4,False
142,2,136,47,47,73,74,6,False
143,2,137,23,23,38,38,0,False
144,2,138,9,9,14,15,0,False
145,2,139,17,17,33,33,0,False
146,2,140,40,40,58,59,4,False
147,2,141,17,17,28,28,0,False
148,2,142,34,34,56,57,4,False
149,2,143,66,66,103,104,10,False
150,2,144,49,49,81,82,4,False
151,2,145,36,36,61,61,2,False
152,2,146,26,26,41,42,2,False
153,2,147,10,10,16,17,0,False
154,2,148,22,22,33,33,2,False
155,2,149,22,22,34,35,0,False
156,2,150,40,40,70,71,4,False
157,2,151,29,29,46,47,0,False
158,2,152,13,13,20,21,0,False
159,2,153,21,21,32,33,2,False
160,2,154,19,19,29,30,0,False
161,2,155,26,26,43,44,2,False
162,2,156,20,20,30,31,6,False
163,2,157,16,16,22,23,0,False
164,2,158,29,29,47,48,0,False
165,2,159,29,29,47,48,2,False
166,2,160,21,21,31,32,4,False
167,2,161,24,24,37,38,2,False
168,2,162,13,13,20,21,0,False
169,2,163,19,19,30,31,6,False
170,2,164,71,71,112,113,4,False
171,2,165,44,43,68,68,4,False
172,2,166,15,14,26,26,4,False
173,2,167,36,36,57,57,4,False
174,2,168,24,24,39,40,0,False
175,2,169,17,17,29,30,2,False
176,2,170,25,25,39,40,0,False
177,2,171,23,23,40,41,6,False
178,2,172,24,24,40,41,2,False
179,2,173,30,30,45,46,0,False
180,2,174,39,39,64,64,6,False
181,2,175,21,21,33,33,2,False
182,2,176,20,19,31,31,2,False
183,2,177,99,99,162,163,2,False
184,2,178,55,55,89,89,6,False
185,2,179,13,13,21,22,0,False
186,2,180,21,21,38,38,0,False
187,2,181,14,14,23,23,2,False
188,2,182,18,18,27,28,0,False
189,2,183,16,16,29,30,4,False
190,2,184,45,45,66,67,2,False
191,2,185,62,62,105,106,4,False
192,2,186,26,26,41,42,0,False
193,2,187,97,97,157,158,6,False
194,2,188,29,29,47,48,2,False
195,2,189,35,35,57,58,2,False
196,2,190,19,19,34,35,2,False
197,2,191,47,47,81,82,0,False
198,2,192,11,11,14,15,0,False
199,2,193,22,22,39,40,2,False
200,2,194,33,33,55,56,2,False
201,2,195,20,20,34,35,2,False
202,2,196,96,95,154,154,6,False
203,2,197,45,44,71,71,0,False
204,2,198,44,44,67,68,2,False
205,2,199,20,20,29,30,2,False
206,2,200,38,37,61,61,2,False
207,2,201,25,25,40,40,0,False
208,2,202,17,16,22,22,0,False
209,2,203,29,29,49,50,6,False
210,2,204,18,18,29,30,0,False
211,2,205,20,19,28,28,0,False
212,2,206,11,10,15,15,0,False
213,2,207,21,20,29,29,0,False
214,2,208,22,22,39,40,2,False
215,2,209,17,17,27,28,0,False
216,2,210,26,26,40,40,6,False
217,2,211,26,25,43,43,0,False
218,2,212,30,29,50,50,6,False
219,2,213,66,66,108,109,10,False
220,2,214,47,46,77,77,6,False
221,2,215,42,42,62,63,0,False
222,2,216,28,28,48,49,0,False
223,2,217,90,90,142,143,0,False
224,2,218,32,32,49,50,4,False
225,2,219,38,38,60,61,0,False
226,2,220,41,41,63,64,0,False
227,2,221,72,72,111,112,4,False
228,2,222,38,38,60,61,0,False
229,2,223,28,28,48,49,2,False
230,2,224,22,22,37,38,2,False
231,2,225,22,22,34,35,0,False
232,2,226,25,25,38,39,2,False
233,2,227,12,12,17,18,0,False
234,2,228,62,62,103,104,2,False
235,2,229,67,67,97,98,6,False
236,2,230,34,34,57,58,0,False
237,2,231,63,63,99,100,2,False
238,2,232,50,50,83,84,0,False
239,2,233,94,94,155,155,6,False
240,2,234,37,37,61,61,2,False
241,2,235,71,71,116,117,2,False
242,2,236,35,35,61,62,0,False
243,2,237,50,50,88,88,4,False
244,2,238,15,15,24,25,0,False
245,2,239,24,24,37,38,2,False
246,2,240,43,43,68,69,4,False
247,2,241,10,10,17,18,0,False
248,2,242,8,8,12,13,0,False
249,2,243,43,43,69,70,8,False
250,2,244,14,14,22,23,0,False
251,2,245,26,26,42,43,6,False
252,2,246,77,77,115,116,10,False
253,2,247,51,51,83,84,0,False
254,2,248,42,42,66,67,2,False
255,2,249,90,90,138,139,10,False
256,2,250,28,28,44,44,0,False
257,2,251,36,36,55,56,0,False
258,2,252,12,12,17,17,0,False
259,2,253,70,69,112,112,2,False
260,2,254,35,35,57,58,2,False
261,2,255,58,58,96,97,14,False
262,2,256,34,34,55,56,0,False
263,2,257,48,48,74,75,8,False
264,2,258,55,55,91,92,18,False
265,2,259,80,80,130,130,8,False
266,2,260,49,49,88,89,6,False
267,2,261,31,31,51,52,2,False
268,2,262,34,34,59,60,2,False
269,2,263,19,19,28,29,0,False
270,2,264,66,66,108,109,4,False
271,2,265,42,42,68,68,2,False
272,2,266,55,55,80,81,2,False
273,2,267,46,45,76,76,4,False
274,2,268,25,25,38,38,0,False
275,2,269,24,23,35,35,2,False
276,2,270,25,25,37,37,0,False
277,2,271,34,34,51,51,0,False
278,2,272,40,40,68,69,4,False
279,2,273,47,47,74,75,2,False
280,2,274,30,30,51,52,4,False
281,2,275,67,67,106,107,12,False
282,2,276,17,17,26,27,0,False
283,2,277,30,30,52,53,2,False
284,2,278,20,20,31,32,6,False
285,2,279,26,26,42,43,0,False
286,2,280,21,21,35,36,2,False
287,2,281,16,16,27,28,4,False
288,2,282,174,174,292,293,22,False
289,2,283,44,44,71,72,4,False
290,2,284,37,37,58,58,0,False
291,2,285,38,38,61,61,4,False
292,2,286,63,63,108,109,4,False
6210,3,1,4,4,3,3,2,False
293,3,2,10,10,16,17,4,False
294,3,3,13,13,23,24,2,False
295,3,4,33,33,48,49,2,False
296,3,5,13,13,22,22,0,False
297,3,6,18,18,31,32,6,False
298,3,7,74,73,121,121,10,False
299,3,8,16,15,29,29,0,False
300,3,9,19,18,31,30,0,False
301,3,10,27,27,42,42,2,False
302,3,11,24,23,38,38,2,False
303,3,12,14,13,23,23,4,False
304,3,13,43,43,68,68,4,False
305,3,14,46,45,74,74,0,False
306,3,15,49,48,67,67,2,False
307,3,16,22,22,36,36,2,False
308,3,17,23,23,36,36,0,False
309,3,18,28,28,45,46,8,False
310,3,19,39,38,61,61,4,False
311,3,20,39,38,60,60,2,False
312,3,21,30,30,51,51,6,False
313,3,22,22,22,32,33,2,False
314,3,23,32,32,48,49,8,False
315,3,24,30,30,43,44,2,False
316,3,25,13,13,24,25,0,False
317,3,26,24,24,39,39,2,False
318,3,27,26,25,43,43,4,False
319,3,28,36,36,61,61,6,False
320,3,29,28,28,44,44,0,False
321,3,30,31,30,44,44,2,False
322,3,31,24,24,33,34,0,False
323,3,32,18,18,27,28,2,False
324,3,33,18,18,26,27,4,False
325,3,34,11,11,18,19,0,False
326,3,35,26,26,41,42,0,False
327,3,36,38,38,63,64,0,False
328,3,37,47,46,77,77,0,False
329,3,38,17,17,32,32,0,False
330,3,39,30,30,48,49,0,False
331,3,40,25,25,38,38,0,False
332,3,41,34,34,54,54,4,False
333,3,42,18,18,31,32,0,False
334,3,43,14,14,24,25,0,False
335,3,44,20,20,36,37,2,False
336,3,45,30,30,49,50,0,False
337,3,46,9,9,15,16,0,False
338,3,47,29,29,48,49,0,False
339,3,48,11,11,20,21,2,False
340,3,49,70,70,113,114,2,False
341,3,50,22,22,35,35,6,False
342,3,51,16,16,24,25,0,False
343,3,52,34,34,53,54,4,False
344,3,53,18,18,30,31,0,False
345,3,54,13,13,20,21,0,False
346,3,55,41,41,68,69,12,False
347,3,56,29,29,42,43,2,False
348,3,57,23,23,38,39,2,False
349,3,58,10,10,16,17,0,False
350,3,59,15,15,22,23,0,False
351,3,60,10,10,15,16,0,False
352,3,61,35,35,62,63,0,False
353,3,62,20,20,30,31,4,False
354,3,63,10,10,14,15,0,False
355,3,64,38,38,60,61,6,False
356,3,65,22,22,37,38,6,False
357,3,66,25,25,39,40,0,False
358,3,67,23,23,33,34,2,False
359,3,68,24,24,37,38,4,False
360,3,69,17,17,30,31,2,False
361,3,70,13,13,18,19,0,False
362,3,71,13,13,23,24,0,False
363,3,72,29,29,52,53,4,False
364,3,73,41,41,68,68,6,False
365,3,74,10,10,16,17,0,False
366,3,75,43,43,69,70,12,False
367,3,76,10,10,16,17,0,False
368,3,77,38,38,64,64,6,False
369,3,78,34,34,49,50,4,False
370,3,79,46,46,73,73,0,False
371,3,80,20,20,34,35,0,False
372,3,81,60,60,87,88,0,False
373,3,82,9,9,15,16,0,False
374,3,83,21,21,33,34,2,False
375,3,84,43,43,67,68,2,False
376,3,85,18,18,30,31,0,False
377,3,86,27,27,43,44,0,False
378,3,87,17,17,26,27,0,False
379,3,88,13,13,20,21,0,False
380,3,89,19,19,27,28,4,False
381,3,90,22,22,34,35,2,False
382,3,91,34,34,50,50,4,False
383,3,92,21,21,32,33,0,False
384,3,93,32,32,53,54,6,False
385,3,94,11,11,19,20,4,False
386,3,95,14,14,20,21,2,False
387,3,96,13,13,20,21,0,False
388,3,97,35,35,51,52,4,False
389,3,98,17,17,24,25,0,False
390,3,99,25,25,40,41,0,False
391,3,100,28,28,42,43,4,False
392,3,101,27,27,42,43,2,False
393,3,102,19,19,34,35,6,False
394,3,103,53,53,82,83,4,False
395,3,104,25,25,38,39,2,False
396,3,105,22,22,37,37,2,False
397,3,106,26,26,41,42,2,False
398,3,107,17,17,27,28,2,False
399,3,108,16,16,21,22,0,False
400,3,109,18,18,28,28,4,False
401,3,110,37,37,61,62,0,False
402,3,111,22,22,36,37,2,False
403,3,112,48,48,72,73,4,False
404,3,113,19,19,31,32,2,False
405,3,114,30,30,47,48,2,False
406,3,115,15,15,24,25,0,False
407,3,116,31,31,48,49,2,False
408,3,117,30,30,51,52,0,False
409,3,118,43,43,74,75,2,False
410,3,119,41,41,62,62,0,False
411,3,120,30,29,53,53,0,False
412,3,121,13,13,20,21,0,False
413,3,122,16,16,28,29,2,False
414,3,123,17,17,27,28,2,False
415,3,124,21,21,34,35,4,False
416,3,125,27,27,42,43,2,False
417,3,126,25,25,40,41,6,False
418,3,127,13,13,23,24,2,False
419,3,128,11,11,19,20,0,False
420,3,129,24,24,34,35,0,False
421,3,130,21,21,35,36,6,False
422,3,131,12,12,18,18,2,False
423,3,132,11,11,15,16,2,False
424,3,133,23,23,34,35,2,False
425,3,134,29,29,44,45,2,False
426,3,135,33,33,57,58,6,False
427,3,136,32,32,43,44,0,False
428,3,137,19,19,31,32,0,False
429,3,138,11,11,14,15,0,False
430,3,139,13,13,21,22,0,False
431,3,140,33,33,53,54,2,False
432,3,141,11,11,18,19,2,False
433,3,142,22,22,36,37,2,False
434,3,143,18,18,30,31,0,False
435,3,144,40,40,63,64,2,False
436,3,145,38,38,61,62,2,False
437,3,146,33,33,51,52,0,False
438,3,147,34,34,56,57,2,False
439,3,148,17,17,26,27,0,False
440,3,149,24,24,41,42,4,False
441,3,150,10,10,14,15,0,False
